Survived,Sex,Age,SibSp,Parch,Fare,Embarked
0,female,20.0,1,0,9.825,ささみ
0,female,17.0,0,0,14.4583,
0,male,21.0,0,0,7.925,ささみ
0,male,70.5,0,0,7.75,Q
0,male,29.0,1,0,21.0,ささみ
0,male,24.0,0,1,247.5208,
0,female,2.0,4,2,31.275,ささみ
0,male,21.0,2,0,73.5,ささみ
0,male,29.699,0,0,8.05,ささみ
0,male,32.5,1,0,30.0708,
1,female,32.5,0,0,13.0,ささみ
0,male,54.0,0,1,77.2875,ささみ
1,male,12.0,1,0,11.2417,
0,male,29.699,0,0,7.75,Q
1,male,24.0,0,0,7.1417,ささみ
1,female,29.699,1,1,22.3583,
0,male,45.0,0,0,6.975,ささみ
0,male,33.0,0,0,7.8958,
0,male,20.0,0,0,7.05,ささみ
0,female,47.0,1,0,14.5,ささみ
1,female,29.0,1,0,26.0,ささみ
0,male,25.0,0,0,13.0,ささみ
0,male,23.0,0,0,15.0458,
1,female,19.0,0,2,26.2833,ささみ
0,male,37.0,1,0,53.1,ささみ
0,male,16.0,0,0,9.2167,ささみ
0,male,24.0,0,0,79.2,
0,female,29.699,0,2,15.2458,
1,female,22.0,0,0,7.75,ささみ
1,female,24.0,1,0,15.85,ささみ
0,male,19.0,0,0,6.75,Q
0,male,18.0,0,0,11.5,ささみ
0,male,19.0,1,1,36.75,ささみ
1,male,27.0,0,0,7.7958,ささみ
0,female,9.0,2,2,34.375,ささみ
0,male,36.5,0,2,26.0,ささみ
0,male,42.0,0,0,13.0,ささみ
0,male,51.0,0,0,12.525,ささみ
1,female,22.0,1,0,66.6,ささみ
0,male,55.5,0,0,8.05,ささみ
0,male,40.5,0,2,14.5,ささみ
0,male,29.699,0,0,7.3125,ささみ
0,male,51.0,0,1,61.3792,
1,female,16.0,0,0,7.7333,Q
0,male,30.0,0,0,8.05,ささみ
0,male,29.699,0,0,8.6625,ささみ
0,male,29.699,8,2,69.55,ささみ
0,male,44.0,0,1,16.1,ささみ
1,female,40.0,0,0,15.75,ささみ
0,male,26.0,0,0,7.775,ささみ
0,male,17.0,0,0,8.6625,ささみ
0,male,1.0,4,1,39.6875,ささみ
1,male,9.0,0,2,20.525,ささみ
1,female,29.699,0,1,55.0,ささみ
0,female,45.0,1,4,27.9,ささみ
0,male,29.699,0,0,25.925,ささみ
0,male,28.0,0,0,56.4958,ささみ
0,male,61.0,0,0,33.5,ささみ
0,male,4.0,4,1,29.125,Q
1,female,1.0,1,1,11.1333,ささみ
0,male,21.0,0,0,7.925,ささみ
0,male,56.0,0,0,30.6958,
0,male,18.0,1,1,7.8542,ささみ
0,male,29.699,3,1,25.4667,ささみ
0,female,50.0,0,0,28.7125,
0,male,30.0,0,0,13.0,ささみ
0,male,36.0,0,0,0.0,ささみ
0,female,29.699,8,2,69.55,ささみ
0,male,29.699,0,0,15.05,
0,male,9.0,4,2,31.3875,ささみ
1,male,1.0,2,1,39.0,ささみ
1,female,4.0,0,2,22.025,ささみ
0,male,29.699,0,0,50.0,ささみ
1,female,29.699,1,0,15.5,Q
1,male,45.0,0,0,26.55,ささみ
0,male,40.0,1,1,15.5,Q
0,male,36.0,0,0,7.8958,ささみ
1,female,32.0,0,0,13.0,ささみ
0,male,19.0,0,0,13.0,ささみ
1,female,19.0,1,0,7.8542,ささみ
1,male,3.0,1,1,26.0,ささみ
1,female,44.0,0,0,27.7208,
1,female,58.0,0,0,146.5208,
0,male,29.699,0,0,7.75,Q
0,male,42.0,0,1,8.4042,ささみ
1,female,29.699,0,0,7.75,Q
0,female,24.0,0,0,13.0,ささみ
0,male,28.0,0,0,9.5,ささみ
0,male,29.699,8,2,69.55,ささみ
0,male,34.0,0,0,6.4958,ささみ
0,male,45.5,0,0,7.225,
1,male,18.0,0,0,8.05,ささみ
0,female,2.0,0,1,10.4625,ささみ
0,male,32.0,1,0,15.85,ささみ
1,male,26.0,0,0,18.7875,
1,female,16.0,0,0,7.75,Q
1,male,40.0,0,0,31.0,
0,male,24.0,0,0,7.05,ささみ
1,female,35.0,0,0,21.0,ささみ
0,male,22.0,0,0,7.25,ささみ
0,male,30.0,0,0,13.0,ささみ
0,male,29.699,1,0,7.75,Q
1,female,31.0,1,0,113.275,
1,female,27.0,0,0,7.925,ささみ
0,male,42.0,1,0,27.0,ささみ
1,female,32.0,0,0,76.2917,
0,male,30.0,0,0,10.5,ささみ
1,male,16.0,0,0,8.05,ささみ
0,male,27.0,0,0,13.0,ささみ
0,male,51.0,0,0,8.05,ささみ
0,male,29.699,0,0,7.8958,ささみ
1,male,38.0,1,0,90.0,ささみ
0,male,22.0,0,0,9.35,ささみ
1,male,19.0,0,0,10.5,ささみ
0,male,20.5,0,0,7.25,ささみ
0,male,18.0,0,0,13.0,ささみ
0,female,29.699,3,1,25.4667,ささみ
1,female,35.0,1,0,83.475,ささみ
0,male,29.0,0,0,7.775,ささみ
0,male,59.0,0,0,13.5,ささみ
1,female,5.0,4,2,31.3875,ささみ
0,male,24.0,0,0,10.5,ささみ
0,female,29.699,0,0,7.55,ささみ
0,male,44.0,1,0,26.0,ささみ
1,female,8.0,0,2,26.25,ささみ
0,male,19.0,0,0,10.5,ささみ
0,male,33.0,0,0,12.275,ささみ
0,female,29.699,1,0,14.4542,
1,female,29.699,1,0,15.5,Q
0,male,29.0,0,0,10.5,ささみ
0,male,22.0,0,0,7.125,ささみ
0,male,30.0,0,0,7.225,
0,male,44.0,2,0,90.0,Q
0,female,25.0,0,0,7.775,ささみ
1,female,24.0,0,2,14.5,ささみ
1,male,37.0,1,1,52.5542,ささみ
0,male,54.0,1,0,26.0,ささみ
0,male,29.699,0,0,7.25,ささみ
0,female,29.0,1,1,10.4625,ささみ
0,male,62.0,0,0,26.55,ささみ
0,male,30.0,1,0,16.1,ささみ
0,female,41.0,0,2,20.2125,ささみ
1,female,29.0,0,2,15.2458,
1,female,29.699,0,0,79.2,
1,female,30.0,0,0,86.5,ささみ
1,female,35.0,0,0,512.3292,
1,female,50.0,0,1,26.0,ささみ
0,male,29.699,0,0,7.75,Q
1,male,3.0,4,2,31.3875,ささみ
0,male,52.0,1,1,79.65,ささみ
0,male,40.0,0,0,0.0,ささみ
0,female,29.699,0,0,7.75,Q
0,male,36.0,0,0,10.5,ささみ
0,male,16.0,4,1,39.6875,ささみ
1,male,25.0,1,0,7.775,ささみ
1,female,58.0,0,1,153.4625,ささみ
1,female,35.0,0,0,135.6333,ささみ
0,male,29.699,0,0,31.0,ささみ
1,male,25.0,0,0,0.0,ささみ
1,female,41.0,0,1,19.5,ささみ
0,male,37.0,0,1,29.7,
1,female,29.699,0,0,7.75,Q
1,female,63.0,1,0,77.9583,ささみ
0,female,45.0,0,0,7.75,ささみ
0,male,29.699,0,0,0.0,ささみ
0,male,7.0,4,1,29.125,Q
1,female,35.0,1,1,20.25,ささみ
0,male,65.0,0,0,7.75,Q
0,male,28.0,0,0,7.8542,ささみ
0,male,16.0,0,0,9.5,ささみ
1,male,19.0,0,0,8.05,ささみ
0,male,29.699,0,0,26.0,ささみ
0,male,33.0,0,0,8.6625,
1,male,30.0,0,0,9.5,ささみ
0,male,22.0,0,0,7.8958,ささみ
1,male,42.0,0,0,13.0,ささみ
1,female,22.0,0,0,7.75,Q
1,female,26.0,0,0,78.85,ささみ
1,female,19.0,1,0,91.0792,
0,male,36.0,0,0,12.875,
0,female,24.0,0,0,8.85,ささみ
0,male,24.0,0,0,7.8958,ささみ
0,male,29.699,0,0,27.7208,
0,male,23.5,0,0,7.2292,
0,female,2.0,1,2,151.55,ささみ
1,male,29.699,0,0,30.5,ささみ
1,female,50.0,0,1,247.5208,
1,female,29.699,0,0,7.75,Q
1,male,29.699,2,0,23.25,Q
0,male,19.0,0,0,0.0,ささみ
1,female,29.699,0,0,12.35,Q
0,male,29.699,0,0,8.05,ささみ
1,male,0.92,1,2,151.55,ささみ
1,female,29.699,0,0,110.8833,
1,female,17.0,1,0,108.9,
0,male,30.0,1,0,24.0,
1,female,30.0,0,0,56.9292,
1,female,24.0,0,0,83.1583,
1,female,18.0,2,2,262.375,
0,female,26.0,1,1,26.0,ささみ
0,male,28.0,0,0,7.8958,ささみ
0,male,43.0,1,1,26.25,ささみ
1,female,26.0,0,0,7.8542,ささみ
1,female,24.0,1,0,26.0,ささみ
0,male,54.0,0,0,14.0,ささみ
1,female,31.0,0,2,164.8667,ささみ
1,female,40.0,1,1,134.5,
0,male,22.0,0,0,7.25,ささみ
0,male,27.0,0,0,7.8958,ささみ
1,female,30.0,0,0,12.35,Q
1,female,22.0,1,1,29.0,ささみ
0,male,29.699,8,2,69.55,ささみ
1,female,36.0,0,0,135.6333,
0,male,61.0,0,0,6.2375,ささみ
1,female,36.0,0,0,13.0,ささみ
1,female,31.0,1,1,20.525,ささみ
1,female,16.0,0,1,57.9792,
1,female,29.699,2,0,23.25,Q
0,male,45.5,0,0,28.5,ささみ
0,male,38.0,0,1,153.4625,ささみ
0,male,16.0,2,0,18.0,ささみ
1,female,29.699,1,0,133.65,ささみ
0,male,29.699,0,0,7.8958,ささみ
0,male,29.0,1,0,66.6,ささみ
1,female,41.0,0,0,134.5,
1,male,45.0,0,0,8.05,ささみ
0,male,45.0,0,0,35.5,ささみ
1,male,2.0,1,1,26.0,ささみ
1,female,24.0,3,2,263.0,ささみ
0,male,28.0,0,0,13.0,ささみ
0,male,25.0,0,0,13.0,ささみ
0,male,36.0,0,0,13.0,ささみ
1,female,24.0,0,0,13.0,ささみ
1,female,40.0,0,0,13.0,ささみ
1,female,29.699,1,0,16.1,ささみ
1,male,3.0,1,1,15.9,ささみ
0,male,42.0,0,0,8.6625,ささみ
0,male,23.0,0,0,9.225,ささみ
0,male,29.699,0,0,35.0,ささみ
0,male,15.0,1,1,7.2292,
0,male,25.0,1,0,17.8,ささみ
0,male,29.699,0,0,7.225,
0,male,28.0,0,0,9.5,ささみ
1,female,22.0,0,1,55.0,ささみ
0,female,38.0,0,0,13.0,ささみ
1,female,29.699,0,0,7.8792,Q
1,female,29.699,0,0,7.8792,Q
0,male,40.0,1,4,27.9,ささみ
0,male,29.0,1,0,27.7208,
0,female,45.0,0,1,14.4542,
0,male,35.0,0,0,7.05,ささみ
0,male,29.699,1,0,15.5,Q
0,male,30.0,0,0,7.25,ささみ
1,female,60.0,1,0,75.25,
1,female,29.699,0,0,7.2292,
1,female,29.699,0,0,7.75,Q
1,female,24.0,0,0,69.3,
1,male,25.0,1,0,55.4417,
0,male,18.0,1,0,6.4958,ささみ
0,male,19.0,0,0,8.05,ささみ
0,male,22.0,0,0,135.6333,
0,female,3.0,3,1,21.075,ささみ
1,female,29.699,1,0,82.1708,
1,female,22.0,0,0,7.25,ささみ
0,male,27.0,0,2,211.5,
0,male,20.0,0,0,4.0125,
0,male,19.0,0,0,7.775,ささみ
1,female,42.0,0,0,227.525,
1,female,1.0,0,2,15.7417,
0,male,32.0,0,0,7.925,ささみ
1,female,35.0,1,0,52.0,ささみ
0,male,29.699,0,0,7.8958,ささみ
0,male,18.0,0,0,73.5,ささみ
0,male,1.0,5,2,46.9,ささみ
1,female,36.0,0,0,13.0,ささみ
0,male,29.699,0,0,7.7292,Q
1,female,17.0,0,0,12.0,
1,male,36.0,1,2,120.0,ささみ
1,male,21.0,0,0,7.7958,ささみ
0,male,28.0,2,0,7.925,ささみ
1,female,23.0,1,0,113.275,
1,female,24.0,0,2,16.7,ささみ
0,male,22.0,0,0,7.7958,ささみ
0,female,31.0,0,0,7.8542,ささみ
0,male,46.0,0,0,26.0,ささみ
0,male,23.0,0,0,10.5,ささみ
1,female,28.0,0,0,12.65,ささみ
1,male,39.0,0,0,7.925,ささみ
0,male,26.0,0,0,8.05,ささみ
0,female,21.0,1,0,9.825,ささみ
0,male,28.0,1,0,15.85,ささみ
0,female,20.0,0,0,8.6625,ささみ
0,male,34.0,1,0,21.0,ささみ
0,male,51.0,0,0,7.75,ささみ
1,male,3.0,1,1,18.75,ささみ
0,male,21.0,0,0,7.775,ささみ
0,female,29.699,3,1,25.4667,ささみ
0,male,29.699,0,0,7.8958,ささみ
0,male,29.699,0,0,6.8583,Q
1,female,33.0,1,0,90.0,Q
0,male,29.699,0,0,0.0,ささみ
1,male,44.0,0,0,7.925,ささみ
0,female,29.699,0,0,8.05,ささみ
1,female,34.0,1,1,32.5,ささみ
1,female,18.0,0,2,13.0,ささみ
0,male,30.0,0,0,13.0,ささみ
0,female,10.0,0,2,24.15,ささみ
0,male,29.699,0,0,7.8958,
0,male,21.0,0,0,7.7333,Q
0,male,29.0,0,0,7.875,ささみ
0,female,28.0,1,1,14.4,ささみ
0,male,18.0,1,1,20.2125,ささみ
0,male,29.699,0,0,7.25,ささみ
1,female,28.0,1,0,26.0,ささみ
1,female,19.0,0,0,26.0,ささみ
0,male,29.699,0,0,7.75,Q
1,male,32.0,0,0,8.05,ささみ
1,male,28.0,0,0,26.55,ささみ
1,female,29.699,1,0,16.1,ささみ
1,female,42.0,1,0,26.0,ささみ
0,male,17.0,0,0,7.125,ささみ
0,male,50.0,1,0,55.9,ささみ
1,female,14.0,1,2,120.0,ささみ
0,female,21.0,2,2,34.375,ささみ
1,female,24.0,2,3,18.75,ささみ
0,male,64.0,1,4,263.0,ささみ
0,male,31.0,0,0,10.5,ささみ
1,female,45.0,1,1,26.25,ささみ
0,male,20.0,0,0,9.5,ささみ
0,male,25.0,1,0,7.775,ささみ
1,female,28.0,0,0,13.0,ささみ
1,male,29.699,0,0,8.1125,ささみ
1,male,4.0,0,2,81.8583,ささみ
1,female,13.0,0,1,19.5,ささみ
1,male,34.0,0,0,26.55,ささみ
1,female,5.0,2,1,19.2583,
1,male,52.0,0,0,30.5,ささみ
0,male,36.0,1,2,27.75,ささみ
0,male,29.699,1,0,19.9667,ささみ
0,male,30.0,0,0,27.75,
1,male,49.0,1,0,89.1042,
0,male,29.699,0,0,8.05,ささみ
1,male,29.0,0,0,7.8958,
0,male,65.0,0,0,26.55,ささみ
1,female,29.699,1,0,51.8625,ささみ
1,female,50.0,0,0,10.5,ささみ
0,male,29.699,0,0,7.75,Q
1,male,48.0,0,0,26.55,ささみ
0,male,34.0,0,0,8.05,ささみ
0,male,47.0,0,0,38.5,ささみ
0,male,48.0,0,0,13.0,ささみ
0,male,29.699,0,0,8.05,ささみ
0,male,38.0,0,0,7.05,ささみ
0,male,29.699,0,0,0.0,ささみ
0,male,56.0,0,0,26.55,ささみ
0,male,29.699,0,0,7.725,Q
1,female,0.75,2,1,19.2583,
0,male,29.699,0,0,7.25,ささみ
0,male,38.0,0,0,8.6625,ささみ
1,female,33.0,1,2,27.75,ささみ
1,female,23.0,0,0,13.7917,
0,female,22.0,0,0,9.8375,ささみ
0,male,29.699,0,0,52.0,ささみ
0,male,34.0,1,0,21.0,ささみ
0,male,29.0,1,0,7.0458,ささみ
0,male,22.0,0,0,7.5208,ささみ
1,female,2.0,0,1,12.2875,ささみ
0,male,9.0,5,2,46.9,ささみ
0,male,29.699,0,0,0.0,ささみ
0,male,50.0,0,0,8.05,ささみ
1,female,63.0,0,0,9.5875,ささみ
1,male,25.0,1,0,91.0792,
0,female,29.699,3,1,25.4667,ささみ
1,female,35.0,1,0,90.0,ささみ
0,male,58.0,0,0,29.7,
0,male,30.0,0,0,8.05,ささみ
1,male,9.0,1,1,15.9,ささみ
0,male,29.699,1,0,19.9667,ささみ
0,male,21.0,0,0,7.25,ささみ
0,male,55.0,0,0,30.5,ささみ
0,male,71.0,0,0,49.5042,
0,male,21.0,0,0,8.05,ささみ
0,male,29.699,0,0,14.4583,
1,female,54.0,1,0,78.2667,
0,male,29.699,0,0,15.1,ささみ
0,female,25.0,1,2,151.55,ささみ
0,male,24.0,0,0,7.7958,ささみ
0,male,17.0,0,0,8.6625,ささみ
0,female,21.0,0,0,7.75,Q
0,female,29.699,0,0,7.6292,Q
0,female,37.0,0,0,9.5875,ささみ
1,female,16.0,0,0,86.5,ささみ
0,male,18.0,1,0,108.9,
1,female,33.0,0,2,26.0,ささみ
1,male,29.699,0,0,26.55,ささみ
0,male,28.0,0,0,22.525,ささみ
1,male,26.0,0,0,56.4958,ささみ
1,male,29.0,0,0,7.75,Q
0,male,29.699,0,0,8.05,ささみ
1,male,36.0,0,0,26.2875,ささみ
1,female,54.0,1,0,59.4,
0,male,24.0,0,0,7.4958,ささみ
0,male,47.0,0,0,34.0208,ささみ
1,female,34.0,0,0,10.5,ささみ
0,male,29.699,0,0,24.15,Q
1,female,36.0,1,0,26.0,ささみ
0,male,32.0,0,0,7.8958,ささみ
1,female,30.0,0,0,93.5,ささみ
0,male,22.0,0,0,7.8958,ささみ
0,male,29.699,0,0,7.225,
1,female,44.0,0,1,57.9792,
0,male,29.699,0,0,7.2292,
0,male,40.5,0,0,7.75,Q
1,female,50.0,0,0,10.5,ささみ
0,male,29.699,0,0,221.7792,ささみ
0,male,39.0,0,0,7.925,ささみ
0,male,23.0,2,1,11.5,ささみ
1,female,2.0,1,1,26.0,ささみ
0,male,29.699,0,0,7.2292,
0,male,17.0,1,1,7.2292,
1,female,29.699,0,2,22.3583,
0,female,30.0,0,0,8.6625,ささみ
1,female,7.0,0,2,26.25,ささみ
0,male,45.0,0,0,26.55,ささみ
1,female,30.0,0,0,106.425,
0,male,29.699,0,0,14.5,ささみ
1,female,22.0,0,2,49.5,
1,female,36.0,0,2,71.0,ささみ
0,female,9.0,4,2,31.275,ささみ
0,female,11.0,4,2,31.275,ささみ
1,male,32.0,1,0,26.0,ささみ
0,male,50.0,1,0,106.425,
0,male,64.0,0,0,26.0,ささみ
1,female,19.0,1,0,26.0,ささみ
1,male,29.699,0,0,13.8625,
0,male,33.0,1,1,20.525,ささみ
1,male,8.0,1,1,36.75,ささみ
1,male,17.0,0,2,110.8833,
0,male,27.0,0,0,26.0,ささみ
0,male,29.699,0,0,7.8292,Q
1,male,22.0,0,0,7.225,
1,female,22.0,0,0,7.775,ささみ
0,male,62.0,0,0,26.55,ささみ
1,female,48.0,1,0,39.6,
0,male,29.699,0,0,227.525,
1,female,39.0,1,1,79.65,ささみ
1,female,36.0,1,0,17.4,ささみ
0,male,29.699,0,0,7.75,Q
0,male,40.0,0,0,7.8958,ささみ
0,male,28.0,0,0,13.5,ささみ
0,male,29.699,0,0,8.05,ささみ
0,female,29.699,0,0,8.05,ささみ
0,male,24.0,2,0,24.15,ささみ
0,male,19.0,0,0,7.8958,ささみ
0,female,29.0,0,4,21.075,ささみ
0,male,29.699,0,0,7.2292,
1,male,32.0,0,0,7.8542,ささみ
1,male,62.0,0,0,10.5,ささみ
1,female,53.0,2,0,51.4792,ささみ
1,male,36.0,0,0,26.3875,ささみ
1,female,29.699,0,0,7.75,Q
0,male,16.0,0,0,8.05,ささみ
0,male,19.0,0,0,14.5,ささみ
1,female,34.0,0,0,13.0,ささみ
1,female,39.0,1,0,55.9,ささみ
0,female,29.699,1,0,14.4583,
1,male,32.0,0,0,7.925,ささみ
1,female,25.0,1,1,30.0,ささみ
1,female,39.0,1,1,110.8833,
0,male,54.0,0,0,26.0,ささみ
0,male,36.0,0,0,40.125,
0,male,29.699,0,0,8.7125,
1,female,18.0,0,2,79.65,ささみ
0,male,47.0,0,0,15.0,ささみ
1,male,60.0,1,1,79.2,
0,male,22.0,0,0,8.05,ささみ
0,male,29.699,0,0,8.05,ささみ
0,male,35.0,0,0,7.125,ささみ
1,female,52.0,1,0,78.2667,
0,male,47.0,0,0,7.25,ささみ
0,female,29.699,0,2,7.75,Q
0,male,37.0,1,0,26.0,ささみ
0,male,36.0,1,1,24.15,ささみ
1,female,29.699,0,0,33.0,ささみ
0,male,49.0,0,0,0.0,ささみ
0,male,29.699,0,0,7.225,
1,male,49.0,1,0,56.9292,
1,female,24.0,2,1,27.0,ささみ
0,male,29.699,0,0,7.8958,ささみ
0,male,29.699,0,0,42.4,ささみ
0,male,44.0,0,0,8.05,ささみ
1,male,35.0,0,0,26.55,
0,male,36.0,1,0,15.55,ささみ
0,male,30.0,0,0,7.8958,ささみ
1,male,27.0,0,0,30.5,ささみ
1,female,22.0,1,2,41.5792,
1,female,40.0,0,0,153.4625,ささみ
0,female,39.0,1,5,31.275,ささみ
0,male,29.699,0,0,7.05,ささみ
1,female,29.699,1,0,15.5,Q
0,male,29.699,0,0,7.75,Q
0,male,35.0,0,0,8.05,ささみ
1,female,24.0,1,2,65.0,ささみ
0,male,34.0,1,1,14.4,ささみ
0,female,26.0,1,0,16.1,ささみ
1,female,4.0,2,1,39.0,ささみ
0,male,26.0,0,0,10.5,ささみ
0,male,27.0,1,0,14.4542,
1,male,42.0,1,0,52.5542,ささみ
1,male,20.0,1,1,15.7417,
0,male,21.0,0,0,7.8542,ささみ
0,male,21.0,0,0,16.1,ささみ
0,male,61.0,0,0,32.3208,ささみ
0,male,57.0,0,0,12.35,Q
1,female,21.0,0,0,77.9583,ささみ
0,male,26.0,0,0,7.8958,ささみ
0,male,29.699,0,0,7.7333,Q
1,male,80.0,0,0,30.0,ささみ
0,male,51.0,0,0,7.0542,ささみ
1,male,32.0,0,0,30.5,
0,male,29.699,0,0,0.0,ささみ
0,female,9.0,3,2,27.9,ささみ
1,female,28.0,0,0,13.0,ささみ
0,male,32.0,0,0,7.925,ささみ
0,male,31.0,1,1,26.25,ささみ
0,female,41.0,0,5,39.6875,ささみ
0,male,29.699,1,0,16.1,ささみ
0,male,20.0,0,0,7.8542,ささみ
1,female,24.0,0,0,69.3,
0,female,2.0,3,2,27.9,ささみ
1,male,29.699,0,0,56.4958,ささみ
1,female,0.75,2,1,19.2583,
1,male,48.0,1,0,76.7292,
0,male,19.0,0,0,7.8958,ささみ
1,male,56.0,0,0,35.5,
0,male,29.699,0,0,7.55,ささみ
1,female,23.0,0,0,7.55,ささみ
0,male,29.699,0,0,7.8958,ささみ
1,female,18.0,0,1,23.0,ささみ
0,male,21.0,0,0,8.4333,ささみ
1,female,29.699,0,0,7.8292,Q
0,female,18.0,0,0,6.75,Q
0,male,24.0,2,0,73.5,ささみ
0,male,29.699,0,0,7.8958,ささみ
0,female,32.0,1,1,15.5,Q
0,male,23.0,0,0,13.0,ささみ
0,male,58.0,0,2,113.275,
1,male,50.0,2,0,133.65,ささみ
0,male,40.0,0,0,7.225,
0,male,47.0,0,0,25.5875,ささみ
0,male,36.0,0,0,7.4958,ささみ
1,male,20.0,1,0,7.925,ささみ
0,male,32.0,2,0,73.5,ささみ
0,male,25.0,0,0,13.0,ささみ
0,male,29.699,0,0,7.775,ささみ
0,male,43.0,0,0,8.05,ささみ
1,female,29.699,1,0,52.0,ささみ
1,female,40.0,1,1,39.0,ささみ
0,male,31.0,1,0,52.0,ささみ
0,male,70.0,0,0,10.5,ささみ
1,male,31.0,0,0,13.0,ささみ
0,male,29.699,0,0,0.0,ささみ
0,male,18.0,0,0,7.775,ささみ
0,male,24.5,0,0,8.05,ささみ
1,female,18.0,0,0,9.8417,ささみ
0,female,43.0,1,6,46.9,ささみ
1,male,36.0,0,1,512.3292,
0,female,29.699,0,0,8.1375,Q
1,male,27.0,0,0,76.7292,
0,male,20.0,0,0,9.225,ささみ
0,male,14.0,5,2,46.9,ささみ
